the; 9; 10.0%
I; 7; 7.777777777777778%
of; 6; 6.666666666666667%
Arable; 6; 6.666666666666667%
a; 6; 6.666666666666667%
and; 5; 5.555555555555555%
to; 5; 5.555555555555555%
Fern; 5; 5.555555555555555%
it; 5; 5.555555555555555%
he; 4; 4.444444444444445%
said; 4; 4.444444444444445%
Mr; 4; 4.444444444444445%
s; 4; 4.444444444444445%
is; 4; 4.444444444444445%
you; 4; 4.444444444444445%
her; 4; 4.444444444444445%
on; 3; 3.3333333333333335%
pig; 3; 3.3333333333333335%
down; 3; 3.3333333333333335%
A; 3; 3.3333333333333335%
at; 3; 3.3333333333333335%
was; 2; 2.2222222222222223%
trouble; 2; 2.2222222222222223%
house; 2; 2.2222222222222223%
little; 2; 2.2222222222222223%
his; 2; 2.2222222222222223%
carton; 2; 2.2222222222222223%
ll; 2; 2.2222222222222223%
small; 2; 2.2222222222222223%
set; 2; 2.2222222222222223%
But; 2; 2.2222222222222223%
see; 2; 2.2222222222222223%
The; 2; 2.2222222222222223%
ax; 2; 2.2222222222222223%
Then; 2; 2.2222222222222223%
You; 1; 1.1111111111111112%
Tears; 1; 1.1111111111111112%
baby; 1; 1.1111111111111112%
coffee; 1; 1.1111111111111112%
what; 1; 1.1111111111111112%
with; 1; 1.1111111111111112%
Put; 1; 1.1111111111111112%
room; 1; 1.1111111111111112%
killed; 1; 1.1111111111111112%
cry; 1; 1.1111111111111112%
smoke; 1; 1.1111111111111112%
start; 1; 1.1111111111111112%
go; 1; 1.1111111111111112%
will; 1; 1.1111111111111112%
carried; 1; 1.1111111111111112%
over; 1; 1.1111111111111112%
heard; 1; 1.1111111111111112%
unfair; 1; 1.1111111111111112%
stove; 1; 1.1111111111111112%
ready; 1; 1.1111111111111112%
upstairs; 1; 1.1111111111111112%
hour; 1; 1.1111111111111112%
along; 1; 1.1111111111111112%
not; 1; 1.1111111111111112%
can; 1; 1.1111111111111112%
damp; 1; 1.1111111111111112%
back; 1; 1.1111111111111112%
for; 1; 1.1111111111111112%
father; 1; 1.1111111111111112%
replied; 1; 1.1111111111111112%
smelled; 1; 1.1111111111111112%
no; 1; 1.1111111111111112%
daughter; 1; 1.1111111111111112%
know; 1; 1.1111111111111112%
Now; 1; 1.1111111111111112%
walked; 1; 1.1111111111111112%
she; 1; 1.1111111111111112%
most; 1; 1.1111111111111112%
look; 1; 1.1111111111111112%
girl; 1; 1.1111111111111112%
this; 1; 1.1111111111111112%
like; 1; 1.1111111111111112%
plaster; 1; 1.1111111111111112%
took; 1; 1.1111111111111112%
raising; 1; 1.1111111111111112%
terrible; 1; 1.1111111111111112%
different; 1; 1.1111111111111112%
from; 1; 1.1111111111111112%
wood; 1; 1.1111111111111112%
This; 1; 1.1111111111111112%
me; 1; 1.1111111111111112%
than; 1; 1.1111111111111112%
later; 1; 1.1111111111111112%
pigs; 1; 1.1111111111111112%
couldn; 1; 1.1111111111111112%
hold; 1; 1.1111111111111112%
do; 1; 1.1111111111111112%
had; 1; 1.1111111111111112%
run; 1; 1.1111111111111112%
almost; 1; 1.1111111111111112%
All; 1; 1.1111111111111112%
thing; 1; 1.1111111111111112%
under; 1; 1.1111111111111112%
returned; 1; 1.1111111111111112%
runt; 1; 1.1111111111111112%
hanging; 1; 1.1111111111111112%
t; 1; 1.1111111111111112%
When; 1; 1.1111111111111112%
weakling; 1; 1.1111111111111112%
face; 1; 1.1111111111111112%
bacon; 1; 1.1111111111111112%
help; 1; 1.1111111111111112%
pull; 1; 1.1111111111111112%
right; 1; 1.1111111111111112%
makes; 1; 1.1111111111111112%
one; 1; 1.1111111111111112%
born; 1; 1.1111111111111112%
chair; 1; 1.1111111111111112%
could; 1; 1.1111111111111112%
more; 1; 1.1111111111111112%
seemed; 1; 1.1111111111111112%
litter; 1; 1.1111111111111112%
hand; 1; 1.1111111111111112%
table; 1; 1.1111111111111112%
arm; 1; 1.1111111111111112%
kitchen; 1; 1.1111111111111112%
place; 1; 1.1111111111111112%
came; 1; 1.1111111111111112%
have; 1; 1.1111111111111112%
cried; 1; 1.1111111111111112%
Mrs; 1; 1.1111111111111112%
Certainly; 1; 1.1111111111111112%
out; 1; 1.1111111111111112%
bottle; 1; 1.1111111111111112%
another; 1; 1.1111111111111112%
be; 1; 1.1111111111111112%
queer; 1; 1.1111111111111112%
love; 1; 1.1111111111111112%
If; 1; 1.1111111111111112%
breakfast; 1; 1.1111111111111112%
looking; 1; 1.1111111111111112%
difference; 1; 1.1111111111111112%
cheeks; 1; 1.1111111111111112%
himself; 1; 1.1111111111111112%
smiled; 1; 1.1111111111111112%
ever; 1; 1.1111111111111112%
an; 1; 1.1111111111111112%
runty; 1; 1.1111111111111112%
being; 1; 1.1111111111111112%
come; 1; 1.1111111111111112%
birth; 1; 1.1111111111111112%
sneakers; 1; 1.1111111111111112%
in; 1; 1.1111111111111112%
still; 1; 1.1111111111111112%
case; 1; 1.1111111111111112%
ran; 1; 1.1111111111111112%
He; 1; 1.1111111111111112%
let; 1; 1.1111111111111112%
would; 1; 1.1111111111111112%
tried; 1; 1.1111111111111112%
when; 1; 1.1111111111111112%
changing; 1; 1.1111111111111112%
bring; 1; 1.1111111111111112%
John; 1; 1.1111111111111112%
about; 1; 1.1111111111111112%
half; 1; 1.1111111111111112%
injustice; 1; 1.1111111111111112%
been; 1; 1.1111111111111112%
very; 1; 1.1111111111111112%
